num_comment,comment,reply,count_reply
1,Shoop có iphon 15 promax 256G không ạ,{},0
2,Shop có hàng ip14prm like new không ạ và giá bao nhiêu,"{""reply_1"": {""content"": ""Chào anh Đăng Khoii,""}}",1
3,có con nào giá 10m đổ về đt mới k ạ,"{""reply_1"": {""content"": ""Xin chào Anh Hoàng Hà,""}}",1
4,Giá xs promax cũ,"{""reply_1"": {""content"": ""Dạ xin chào anh Quí""}}",1
5,Có ip 15prm lướt k ạ xin giá 256g,"{""reply_1"": {""content"": ""Dạ CellphoneS xin chào anh Hồ Văn Nghĩa ạ!""}}",1
6,Mình xin giá thay pin cho 15promax với 13 thường với ạ,"{""reply_1"": {""content"": ""Chào Anh Hưng Nguyễn Duy""}}",1
7,ip 15 thường pin 97% 128g đổi ip 15prm 512g bù nhiu ạ,"{""reply_1"": {""content"": ""Chào chị Yến My""}}",1
8,có iPhone 12 đã qua sử dụng chưa ạ,"{""reply_1"": {""content"": ""Chào chị Khánh,""}}",1
9,có iPhone 16 promax bản 256 không,"{""reply_1"": {""content"": ""Xin chào Chị Loan""}}",1
10,có ip 17prm 256g hàng 99 không ạ,"{""reply_1"": {""content"": ""Chào anh  Đoàn Văn Cương""}}",1
11,16 prm đổi qua 17prx 256g thì bù bao nhiêu tiền ạ,"{""reply_1"": {""content"": ""Chào anh  chudinh thanh""}}",1
12,Xin giá iPhone 16 promax like new,"{""reply_1"": {""content"": ""Xin chào chị Vi,""}}",1
13,có chương trình lên đời iphone không shop,"{""reply_1"": {""content"": ""Chào Anh Đào Bảo Minh""}}",1
14,iphone 15pro max đập hộp còn hàng ko ạ,{},0
15,thay kính lưng 14prm zin hết bao nhiêu ạ,"{""reply_1"": {""content"": ""mình muốn hỏi ốp lưng 14 pro max""}}",1
16,Iphone 14 Pro 256GB chính hãng nguyên zin bên shop bán bao nhiêu,"{""reply_1"": {""content"": ""CellphoneS xin chào anh Phước""}}",1
17,Dạ cho e hỏi Iphone 15 thường 128Gb pin còn 83% bể màn hình nhẹ thì thu cũ khoảng bao nhiêu ạ,"{""reply_1"": {""content"": ""Chào chị Dương""}}",1
18,bên mình còn ip14 plus bản 128gb không ạ,"{""reply_1"": {""content"": ""Chào chị Nhi""}}",1
19,"Mình ở Hcm muốn mua 16pro 256gb nhưng kh còn, thấy ở Cần Thơ có chi nhánh còn hàng màu titan tự nhiên thì đặt hàng giao đến được kh ạ?","{""reply_1"": {""content"": ""Xin chào Anh Thanh ạ!""}}",1
20,cho em hỏi ip 12 prm 526gb hiện tại giá bn vậy ạ,"{""reply_1"": {""content"": ""Chào Anh Sơn,""}}",1
21,Cho em hỏi là bên mình có nhận thu android lên đời ip không nhỉ,"{""reply_1"": {""content"": ""Xin chào anh Nguyễn Lực""}}",1
22,Em có tầm 3-5 củ mua con nào ngon shop,"{""reply_1"": {""content"": ""CellphoneS xin chào Anh Dat ạ!""}}",1
23,"Tôi có iPhone 13 muốn lên iPhone 14 256g phải bù thêm nhiều tiền không, chính sách như thế nào","{""reply_1"": {""content"": ""Xin chào Anh long lethanh""}}",1
24,ip15prm còn hàng ko ạ,"{""reply_1"": {""content"": ""CellphoneS xin chào chị Phương Quỳnh""}}",1
25,thay pin iphone 11 giá s a,"{""reply_1"": {""content"": ""Chào anh Thiên Ân,""}}",1
26,cho e hỏi góp ip15 plus new trả trước bnhiu,"{""reply_1"": {""content"": ""CellphoneS xin chào chị Ngọc Huyền.""}}",1
27,cho em hỏi giá góp của iPhone 16 Promax new trả trước bao nhiêu ạ,"{""reply_1"": {""content"": ""CellphoneS xin chào chị Nhi,""}}",1
28,Thu lại ip11 thường bnhiu ạ,"{""reply_1"": {""content"": ""Chào chị Ngoc Yen,""}}",1
29,thay pin máy 12 pro giá thế nào ạ,"{""reply_1"": {""content"": ""CellphoneS xin chào Anh Mai Anh ạ!""}}",1
30,Hack của ròng ip13 pro là j,"{""reply_1"": {""content"": ""CellphoneS xin chào Anh Hoc,""}}",1
31,Tôi muốn hack game thì phải lm sao,"{""reply_1"": {""content"": ""CellphoneS xin chào Anh Hoc,""}}",1
32,"thu lại iphone 12 thường pin zin còn 71% thì bao nhiêu ạ , màu đen ngoại hình còn khá mới","{""reply_1"": {""content"": ""CellphoneS xin chào Chị Gia Linh,""}}",1
33,mk có iphone 16prm bản 256 kicks hoạt vào tháng 3 năm ngoái pin 95% ngoại hình khỏi bàn ạ thì shop thu đc bn,"{""reply_1"": {""content"": ""CellphoneS xin chào Anh Vũ Đức Anh""}}",1
34,"Thu lại iphone 12 prm 128gb pin zin còn 72% thì bao nhiêu ạ, ngoại hình thì giữ cũng còn khá mới màu gold","{""reply_1"": {""content"": ""CellphoneS xin chào chị Nguyễn Thị Yến Nhi""}}",1
35,cái máy của anh mua bên em sao anh sai côi clip fb khi thì sang khi thi toi vay,"{""reply_1"": {""content"": ""CellphoneS xin chào Anh Nam ạ!""}}",1
36,Tôi muốn trả góp 0 đồng được không ạ,"{""reply_1"": {""content"": ""CellphoneS xin chào anh Tuấn""}}",1
37,Khi nào ip 14 pro max 256g mới có hàng vậy ạ,"{""reply_1"": {""content"": ""CellphoneS xin chào  chị Lan""}}",1
38,iphone 16e mua luôn gói 5g thanh toán hết  12 tháng thuê bao(gói 150/tháng) thì máy có dùng thêm 1 nhà mạng khác dc ko ạ?,"{""reply_1"": {""content"": ""CellphoneS xin chào anh  Phan Tấn Long Châu""}}",1
39,thay pin 14pro với prm giá như nào ạ,"{""reply_1"": {""content"": ""CellphoneS xin chào chị Chan hao""}}",1
40,ip 15 plus 128 khi nào có hàng vậy ạ,"{""reply_1"": {""content"": ""CellphoneS xin chào Chị TRẦN THỊ LỆ HÀ""}}",1
41,Bên mình có máy dùng r hay máy lướt ip 15 promax k ạ,"{""reply_1"": {""content"": ""CellphoneS xin chào anh Hoàngcivic""}}",1
42,14 plus 128 khi nào có hàng shop,"{""reply_1"": {""content"": ""CellphoneS xin chào anh Lợi,""}}",1
43,cho em hỏi giá trên web là giá máy chưa bốc họp hả vậy giá máy 99 thì sao ạ,"{""reply_1"": {""content"": ""CellphoneS xin chào anh Thành Nhật""}}",1
44,cho em hỏi ip13 128gb pin86% bên mình thu bao nhiêu ạ,"{""reply_1"": {""content"": ""CellphoneS Xin Chào Chị Ngọc!""}}",1
45,"cho mình hỏi ip11 64gb pin 70%, bên mình thu lại bao nhiêu ạ?","{""reply_1"": {""content"": ""CellphoneS xin chào chị Ngọc""}}",1
46,"cho e hỏi ip12 prmx 512gb còn máy zin kh ạ,Tp.Việt Trì có cơ sở nào kh ạ?","{""reply_1"": {""content"": ""CellphoneS xin chào chị Ngọc Anh""}}",1
47,giá xem trên web là giá đã giảm vậy mua trực tiếp ở cửa hàng có dc giá đó không,"{""reply_1"": {""content"": ""CellphoneS xin chào chị Trang""}}",1
48,bán chiếc điện thoại nào mà tặng luôn con gấu 37 %c hông dị anh chị,"{""reply_1"": {""content"": ""CellphoneS xin chào chị Thảo""}}",1
49,cho hỏi iphone 15thường mua tại cellphones còn bảo hành máy như mới thu lại bao nhiêu vậy,"{""reply_1"": {""content"": ""CellphoneS xin chào anh Đinh Văn Nghĩa""}}",1
50,Cho em hỏi đt em đang sài ip15prm mà em muốn đổi ip15prm mới đập hộp thì em phải bù bao nhiêu ạ,"{""reply_1"": {""content"": ""CellphoneS xin chào anh Trương Đình Nhật""}}",1
