name,sku,base_price,sale_price,description,specifications,images,colors
Laptop Acer Gaming Aspire 7 A715-59G-57TU,laptop-acer-gaming-aspire-7-a715-59g-57tu,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__8_27.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__9_26.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_211.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__8_27.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_165.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_17__8_116.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_18__7_19.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_19__5_18.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_14__9_27.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_14__9_27.png"", ""product_url"": ""https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-59g-57tu.html?product_id=104369"", ""price"": ""21.490.000₫""}}"
Laptop Acer Gaming Nitro ProPanel ANV15-41-R7CR,laptop-acer-gaming-nitro-v-15-propanel-anv15-41-r7cr,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_26.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_2__13.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_1__14.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_3__13.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_4__12.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_5__12.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_6__11.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_8__10.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_7__13.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/sssxs_31_6.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/sssxs_31_6.png"", ""product_url"": ""https://cellphones.com.vn/laptop-acer-gaming-nitro-v-15-propanel-anv15-41-r7cr.html?product_id=108954"", ""price"": ""27.290.000₫""}}"
Laptop Acer Aspire Lite 16 GEN 2 AL16-52P-76DU,laptop-acer-aspire-lite-16-gen-2-al16-52p-76du,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__2_234.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__4_210.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__4_219.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__2_213.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__4_174.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__5_177.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__5_170.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__6_159.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_6__2_235.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_6__2_235.png"", ""product_url"": ""https://cellphones.com.vn/laptop-acer-aspire-lite-16-gen-2-al16-52p-76du.html?product_id=100681"", ""price"": ""18.790.000₫""}}"
Laptop Acer Gaming Nitro ProPanel ANV15-41-R9M1,laptop-acer-gaming-nitro-v-15-propanel-anv15-41-r9m1,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_27.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_2__14.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_1__15.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_4__13.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_3__14.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_5__13.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_6__12.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_8__11.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_7__14.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/sssxs_31_5.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/sssxs_31_5.png"", ""product_url"": ""https://cellphones.com.vn/laptop-acer-gaming-nitro-v-15-propanel-anv15-41-r9m1.html?product_id=109880"", ""price"": ""24.990.000₫""}}"
Laptop Acer Gaming Nitro Lite 16 NL16-71G-71UJ,laptop-acer-gaming-nitro-lite-16-nl16-71g-71uj,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__7_43.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__8_35.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__8_33.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__9_34.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__9_88.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__4_78.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__4_80.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__5_96.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__6_75.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_69.png""]","{""product_color_1"": {""color"": ""Trắng"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_11__7_44.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_11__7_44.png"", ""product_url"": ""https://cellphones.com.vn/laptop-acer-gaming-nitro-lite-16-nl16-71g-71uj.html?product_id=104585"", ""price"": ""26.190.000₫""}}"
Laptop Acer Nitro V 15 ANV15-41-R1JY,laptop-acer-nitro-v-15-anv15-41-r1jy,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1_118.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__93.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__90.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__86.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__80.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__67.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__56.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_7__47.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_8__38.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_119.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_119.png"", ""product_url"": ""https://cellphones.com.vn/laptop-acer-nitro-v-15-anv15-41-r1jy.html?product_id=120453"", ""price"": ""21.790.000₫""}}"
Laptop Acer Gaming Nitro ProPanel ANV15-41-R0FE,laptop-acer-gaming-nitro-v-15-propanel-anv15-41-r0fe,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_29.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_2__16.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_1__17.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_4__15.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_3__16.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_5__15.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_6__14.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_8__13.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_7__16.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/sssxs_31_3.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/sssxs_31_3.png"", ""product_url"": ""https://cellphones.com.vn/laptop-acer-gaming-nitro-v-15-propanel-anv15-41-r0fe.html?product_id=108957"", ""price"": ""27.990.000₫""}}"
Laptop Acer Aspire Lite Gen 2 AL14-52M-32KV,laptop-acer-aspire-lite-gen-2-al14-52m-32kv,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__6_150.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_128.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_96.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__6_108.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_18__6_42.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_17__8_50.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_19__4_46.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_20__5_41.png""]","{""product_color_1"": {""color"": ""Xám"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_13__6_151.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_13__6_151.png"", ""product_url"": ""https://cellphones.com.vn/laptop-acer-aspire-lite-gen-2-al14-52m-32kv.html?product_id=98804"", ""price"": ""12.990.000₫""}}"
Laptop Acer Gaming Nitro Lite 16 NL16-71G-56WQ,laptop-acer-gaming-nitro-lite-16-nl16-71g-56wq,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__9_148.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__4_120.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__4_132.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__6_119.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_112.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__5_134.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__8_65.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__7_79.png""]","{""product_color_1"": {""color"": ""Trắng"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_5__9_149.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_5__9_149.png"", ""product_url"": ""https://cellphones.com.vn/laptop-acer-gaming-nitro-lite-16-nl16-71g-56wq.html?product_id=105656"", ""price"": ""24.490.000₫""}}"
Laptop Acer Gaming Nitro V 15 ANV15-41-R732,laptop-acer-gaming-nitro-v-15-anv15-41-r732,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_31.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_2__18.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_1__19.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_4__17.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_3__18.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_5__17.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_6__16.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_8__15.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_7__18.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/sssxs_31_1.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/sssxs_31_1.png"", ""product_url"": ""https://cellphones.com.vn/laptop-acer-gaming-nitro-v-15-anv15-41-r732.html?product_id=116530"", ""price"": ""26.990.000₫""}}"
