name,sku,base_price,sale_price,description,specifications,images,colors
Laptop ASUS Vivobook S 14 FLIP TP3402VA-LZ632W,laptop-asus-vivobook-s-14-flip-tp3402va-lz632w,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__9_31.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_173.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_26__6_49.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_25__7_45.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_23__3_53.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_24__3_48.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_21__4_60.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_132.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_18__6_64.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__8_27.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_17__8_81.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__7_27.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__7_18.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__6_19.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__5_27.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__5_21.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__7_14.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__7_41.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_22__4_58.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_19__4_65.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_20__5_66.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__7_95.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__8_96.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_27__8_19.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__3_26.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_27__9_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_28__8_28.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__3_21.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__9_32.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__9_32.png"", ""product_url"": ""https://cellphones.com.vn/laptop-asus-vivobook-s-14-flip-tp3402va-lz632w.html?product_id=102314"", ""price"": ""20.990.000₫""}}"
Laptop ASUS TUF Gaming F16 FX607VJ-RL034W,laptop-asus-tuf-gaming-f16-fx607vj-rl034w,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__4_146.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__4_162.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__9_133.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_1__9_92.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15_43.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__9_183.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__7_129.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__7_177.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__5_154.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_137.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__7_101.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__6_152.png""]","{""product_color_1"": {""color"": ""Xám"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_7__4_147.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_7__4_147.png"", ""product_url"": ""https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx607vj-rl034w.html?product_id=106536"", ""price"": ""23.490.000₫""}}"
Laptop ASUS Gaming V16 V3607VU-RP343W,laptop-asus-gaming-v16-v3607vu-rp343w,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__7_229.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__9_229.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__4_206.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__6_184.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__4_183.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__5_175.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_167.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_4__7_230.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_4__7_230.png"", ""product_url"": ""https://cellphones.com.vn/laptop-asus-gaming-v16-v3607vu-rp343w.html?product_id=107709"", ""price"": ""25.890.000₫""}}"
Laptop ASUS Vivobook 14 M1405NAQ-LY010W,laptop-asus-vivobook-14-m1405naq-ly010w,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_9__31.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/g/r/group_901_2_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/g/r/group_901_1_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/g/r/group_901_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/g/r/group_901_3_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_11__21.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__83.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/g/r/group_901_5_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/g/r/group_901_4_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__71.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__60.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_9__32.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_9__32.png"", ""product_url"": ""https://cellphones.com.vn/laptop-asus-vivobook-14-m1405naq-ly010w.html?product_id=119281"", ""price"": ""17.690.000₫""}}"
Laptop ASUS Vivobook S14 S3407VA-LY146W,laptop-asus-vivobook-s14-s3407va-ly146w,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__8_52.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__10_48.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__5_40.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__5_50.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__10_65.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__8_52.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__8_40.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__9_144.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__8_160.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__8_134.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_259.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__7_177.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__5_255.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_4__8_53.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_4__8_53.png"", ""product_url"": ""https://cellphones.com.vn/laptop-asus-vivobook-s14-s3407va-ly146w.html?product_id=110866"", ""price"": ""20.390.000₫""}}"
Laptop ASUS TUF Gaming F16 FX607VU-RL045W,laptop-asus-tuf-gaming-f16-fx607vu-rl045w,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__5_117.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__7_64.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__8_53.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__9_49.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__8_46.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_21__4_95.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_20__5_106.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_17__8_135.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_18__7_38.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_19__5_34.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_188.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_232.png""]","{""product_color_1"": {""color"": ""Xám"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_10__5_118.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_10__5_118.png"", ""product_url"": ""https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx607vu-rl045w.html?product_id=105181"", ""price"": ""27.890.000₫""}}"
Laptop ASUS TUF Gaming F16 FX608JHR-RV037W,laptop-asus-tuf-gaming-f16-fx608jhr-rv037w,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15_21_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__9_106_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__4_132_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_1__9_79_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__7_108_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__7_161_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__4_145_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__6_135_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__9_168_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_124_1.png""]","{""product_color_1"": {""color"": ""Xám"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_15_23.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_15_23.png"", ""product_url"": ""https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx608jhr-rv037w.html?product_id=106285"", ""price"": ""36.890.000₫""}}"
Laptop ASUS ZenBook 14 UX3405CA-ST628W,laptop-asus-zenbook-14-ux3405ca-st628w,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_29__9_22_1_2_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_31__7_27_1_2_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_30__8_21_1_2_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_36__6_25_1_2_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_25__7_37_1_2_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_35__8_26_1_2_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_33__9_24_1_2_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_34__7_28_1_2_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_27__8_14_1_2_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_26__6_43_1_2_2.png""]","{""product_color_1"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_29__9_22_1_2_3.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_29__9_22_1_2_3.png"", ""product_url"": ""https://cellphones.com.vn/laptop-asus-zenbook-14-ux3405ca-st628w.html?product_id=123123"", ""price"": ""29.090.000₫""}}"
Laptop ASUS TUF Gaming A15 FA506NCG-HN184W,laptop-asus-tuf-gaming-a15-fa506ncg-hn184w,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__9_136.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__5_22.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__8_28.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__8_22.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__10_35.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__8_26.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__7_169.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__10_24.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_239.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__8_154.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__5_28.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__5_245.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__8_128.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_20__6_6.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_19__6_9.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_17__9_9.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_18__8_9.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_308.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_253.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_14__9_137.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_14__9_137.png"", ""product_url"": ""https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa506ncg-hn184w.html?product_id=110215"", ""price"": ""22.490.000₫""}}"
Laptop ASUS Vivobook Go 15 E1504FA-BQ1150W,laptop-asus-vivobook-go-15-e1504fa-bq1150w,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__8_152.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_17__9_8.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_252.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_307.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__8_127.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__9_135.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_18__8_8.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_19__6_8.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_20__6_5.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_21__5_7.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_23__4_5.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_22__5_6.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_12__8_153.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_12__8_153.png"", ""product_url"": ""https://cellphones.com.vn/laptop-asus-vivobook-go-15-e1504fa-bq1150w.html?product_id=110213"", ""price"": ""15.990.000₫""}}"
