name,sku,base_price,sale_price,description,specifications,images,colors
Laptop Dell 14 DC14250 DC4C5386W,laptop-dell-14-dc14250-dc4c5386w,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1_125.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__97.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__90.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__95.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__59.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_7__50.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_8__40.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__84.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__71.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_126.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_126.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-14-dc14250-dc4c5386w.html?product_id=120541"", ""price"": ""23.990.000₫""}}"
Laptop Dell Pro 15 Essential PV15250 VKVKD - Nhập khẩu chính hãng,laptop-dell-pro-15-essential-pv15250-vkvkd,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__84.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_7__72.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_8__57.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_9__48.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_11__1_8.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_10__41.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_6__1_1.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_6__1_1.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-pro-15-essential-pv15250-vkvkd.html?product_id=123152"", ""price"": ""14.390.000₫""}}"
Laptop Dell Inspiron 15 3530 J9XFD - Nhập khẩu chính hãng,laptop-dell-inspiron-15-3530-j9xfd,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__4_161.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15_89.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_1__9_123.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__6_165.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__7_203.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__9_161.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__7_158.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_7__4_162.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_7__4_162.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-inspiron-15-3530-j9xfd.html?product_id=107082"", ""price"": ""17.490.000₫""}}"
Laptop Dell 15 DC15250 KR0N9 - Nhập khẩu chính hãng,laptop-dell-15-dc15250-kr0n9,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__10_104_4_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__8_87_3_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_276_3_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__8_93_3_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__10_82_3_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__8_60_3_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__5_76_3_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__5_63_3_1.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__10_104_6.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__10_104_6.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-15-dc15250-kr0n9.html?product_id=121565"", ""price"": ""16.990.000₫""}}"
Laptop Dell 15 DC15255 DC5R5802W1,laptop-dell-15-dc15255-dc5r5802w1,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__10_145.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__8_123.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__8_125.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__10_113.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__5_103.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__8_85.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__5_90.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__10_146.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__10_146.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-15-dc15255-dc5r5802w1.html?product_id=113679"", ""price"": ""18.990.000₫""}}"
Laptop Dell 14 DC14250 C3U085W11SLU,laptop-dell-14-dc14250-c3u085w11slu,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1_136.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__106.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__100.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__95.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__63.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_7__53.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_8__42.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__89.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__76.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_137.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_137.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-14-dc14250-c3u085w11slu.html?product_id=120772"", ""price"": ""18.490.000₫""}}"
Laptop Dell Vostro 3530 2H1TPI7,laptop-dell-vostro-3530-2h1tpi7,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_52__3_12_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_54__3_16_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_53__3_19_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_55__2_22_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_56__2_19_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_57__1_18_1.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_52__3_13.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_52__3_13.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-vostro-3530-2h1tpi7.html?product_id=94870"", ""price"": ""19.990.000₫""}}"
Laptop Dell 15 DC15255 HV1N4 - Nhập khẩu chính hãng,laptop-dell-15-dc15255-hv1n4,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1_121.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__93.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__95.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__88.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__69.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__82.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__58.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_7__49.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_122.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_122.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-15-dc15255-hv1n4.html?product_id=120469"", ""price"": ""18.490.000₫""}}"
Laptop Dell 16 Plus DB16250 DB6U5387W1,laptop-dell-16-plus-db16250-db6u5387w1,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1_134.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__105.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__99.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__94.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__75.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__88.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__62.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_7__52.png""]","{""product_color_1"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_135.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_135.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-16-plus-db16250-db6u5387w1.html?product_id=120758"", ""price"": ""32.990.000₫""}}"
Laptop Dell 15 DC15250 1XVHG - Nhập khẩu chính hãng,laptop-dell-15-dc15250-1xvhg,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__10_104_4.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__8_87_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_276_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__8_93_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__10_82_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__8_60_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__5_76_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__5_63_3.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__10_104_5.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__10_104_5.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-15-dc15250-1xvhg.html?product_id=121563"", ""price"": ""18.490.000₫""}}"
