name,sku,base_price,sale_price,description,specifications,images,colors
Laptop HP Omnibook X Flip 14-FK0092AU BZ7P5PA,laptop-hp-omnibook-x-flip-14-fk0092au-bz7p5pa-ryzen-ai-5,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1_70_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__59_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__55_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2_18.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__50_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__54_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__43_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__13_3_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__10_2_1.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_70_2.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_70_2.png"", ""product_url"": ""https://cellphones.com.vn/laptop-hp-omnibook-x-flip-14-fk0092au-bz7p5pa-ryzen-ai-5.html?product_id=121038"", ""price"": ""30.690.000₫""}}"
Laptop HP Omnibook 5 AI 16-AF1048TU BZ7Q9PA,laptop-hp-omnibook-5-ai-16-af1048tu-bz7q9pa,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__10_20.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__8_18.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__8_18.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__10_16.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__10_21.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__10_21.png"", ""product_url"": ""https://cellphones.com.vn/laptop-hp-omnibook-5-ai-16-af1048tu-bz7q9pa.html?product_id=110162"", ""price"": ""26.190.000₫""}}"
Laptop HP 15-FD1289TU C2CV8PA,laptop-hp-15-fd1289tu-c2cv8pa,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1_61.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__51.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__55.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__50.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_62.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_62.png"", ""product_url"": ""https://cellphones.com.vn/laptop-hp-15-fd1289tu-c2cv8pa.html?product_id=118857"", ""price"": ""24.490.000₫""}}"
Laptop HP OmniBook 7 14-FR0033TU C1MN2PA,laptop-hp-omnibook-7-14-fr0033tu-c1mn2pa,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1_94.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__71.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__75.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__69.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__63.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_95.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_95.png"", ""product_url"": ""https://cellphones.com.vn/laptop-hp-omnibook-7-14-fr0033tu-c1mn2pa.html?product_id=119220"", ""price"": ""27.290.000₫""}}"
Laptop HP 14‑EM0023AU D0BG7PA,laptop-hp-14-em0023au-d0bg7pa,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2_136.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__1_76.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__1_80.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__1_71.png""]","{""product_color_1"": {""color"": ""Vàng"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_2_137.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_2_137.png"", ""product_url"": ""https://cellphones.com.vn/laptop-hp-14-em0023au-d0bg7pa.html?product_id=127306"", ""price"": ""17.190.000₫""}}"
Laptop HP 250R G10 C3RV3AT,laptop-hp-250r-g10-c3rv3at,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2_105.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__1_57.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__1_61.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__1_54.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__1_48.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__1_45.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_2_106.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_2_106.png"", ""product_url"": ""https://cellphones.com.vn/laptop-hp-250r-g10-c3rv3at.html?product_id=126211"", ""price"": ""14.990.000₫""}}"
Laptop HP 245 G10 B8PF8AT,laptop-hp-245-g10-b8pf8at,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__9_107.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15_24.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_1__9_80.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__7_109.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__9_108.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__9_108.png"", ""product_url"": ""https://cellphones.com.vn/laptop-hp-245-g10-b8pf8at.html?product_id=106288"", ""price"": ""15.790.000₫""}}"
Laptop HP 14-EP0220TU B73VWPA,laptop-hp-14-ep0220tu-b73vwpa,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_20__5_42.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_22__4_40.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_21__4_40.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_18__6_43.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_19__4_47.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_20__5_43.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_20__5_43.png"", ""product_url"": ""https://cellphones.com.vn/laptop-hp-14-ep0220tu-b73vwpa.html?product_id=99142"", ""price"": ""13.490.000₫""}}"
Laptop HP 245 G10 BG5U8PT,laptop-hp-245-g10-bg5u8pt,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__9_122.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__4_101.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_90.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__6_97.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__4_109.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_5__9_123.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_5__9_123.png"", ""product_url"": ""https://cellphones.com.vn/laptop-hp-245-g10-bg5u8pt.html?product_id=105168"", ""price"": ""18.490.000₫""}}"
Laptop HP Victus 15-FA2731TX B85LNPA,laptop-hp-victus-15-fa2731tx-b85lnpa,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__5_18.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__5_16.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__8_15.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_233.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__5_239.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_6__5_19.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_6__5_19.png"", ""product_url"": ""https://cellphones.com.vn/laptop-hp-victus-15-fa2731tx-b85lnpa.html?product_id=110167"", ""price"": ""27.890.000₫""}}"
