name,sku,base_price,sale_price,description,specifications,images,colors
Laptop Lenovo LOQ 15ARP10E 83S0007AVN,laptop-lenovo-loq-15arp10e-83s0007avn,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_13__8.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1_40.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__39.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_8__22.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__35.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__36.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_7__23.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__27.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__33.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_9__20.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_12__12.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_11__15.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_10__18.png""]","{""product_color_1"": {""color"": ""Xám"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_13__9.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_13__9.png"", ""product_url"": ""https://cellphones.com.vn/laptop-lenovo-loq-15arp10e-83s0007avn.html?product_id=118484"", ""price"": ""26.490.000₫""}}"
Laptop Lenovo IdeaPad Slim 5 14AKP10 83HX00ABVN,laptop-lenovo-ideapad-slim-5-14akp10-83hx00abvn-ryzen-ai-5,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__7_26_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__34.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__35.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__36.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1_39.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__38.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__32.png""]","{""product_color_1"": {""color"": ""Xám"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_11__7_26_4.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_11__7_26_4.png"", ""product_url"": ""https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14akp10-83hx00abvn-ryzen-ai-5.html?product_id=118481"", ""price"": ""23.590.000₫""}}"
Laptop Lenovo V15 G5 IRL 83HF00BRVA,laptop-lenovo-v15-g5-irl-83hf00brva,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__1_65.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__1_68.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2_121.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__1_61.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__1_55.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__1_49.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__107.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_7__89.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_8__74.png""]","{""product_color_1"": {""color"": ""Xám"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_2__1_66.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_2__1_66.png"", ""product_url"": ""https://cellphones.com.vn/laptop-lenovo-v15-g5-irl-83hf00brva.html?product_id=126951"", ""price"": ""15.990.000₫""}}"
Laptop Lenovo LOQ Essential 15ARP10E 83S0000DVN,laptop-lenovo-loq-essential-15arp10e-83s0000dvn,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_13__2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_5.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_1__3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_4__2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_3__3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_8__2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_6__2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_7__3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_2__3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_4__1_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_5__2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_9__2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_11__2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_12__2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/sssxs_10__2.png""]","{""product_color_1"": {""color"": ""Xám"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/sssxs_13__3.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/sssxs_13__3.png"", ""product_url"": ""https://cellphones.com.vn/laptop-lenovo-loq-essential-15arp10e-83s0000dvn.html?product_id=130375"", ""price"": ""25.490.000₫""}}"
Laptop Lenovo IdeaPad Slim 5 OLED 15ARP10 83J3002SVN,laptop-lenovo-ideapad-slim-5-15arp10-83j3002svn,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_106.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__2_207.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__4_206.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__5_174.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__4_216.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__4_171.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__5_166.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__6_156.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_138.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__6_112.png""]","{""product_color_1"": {""color"": ""Xám"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_16__6_107.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_16__6_107.png"", ""product_url"": ""https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-15arp10-83j3002svn.html?product_id=100373"", ""price"": ""27.590.000₫""}}"
Laptop Lenovo IdeaPad Slim 5 15ARP10 83J3001DVN,laptop-lenovo-ideapad-slim-5-15arp10-83j3001dvn,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_106_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__7_181.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__9_185.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__4_203.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__9_226.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__7_226.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__5_174.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__4_180.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__6_182.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_164.png""]","{""product_color_1"": {""color"": ""Xám"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_16__6_106_2.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_16__6_106_2.png"", ""product_url"": ""https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-15arp10-83j3001dvn.html?product_id=107643"", ""price"": ""24.490.000₫""}}"
Laptop Lenovo IdeaPad Slim 5 14IMH10 83V6001GVN,laptop-lenovo-ideapad-slim-5-14imh10-83v6001gvn,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__125.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__1_86.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2_157.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__1_95.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__1_101.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__1_70.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__1_77.png""]","{""product_color_1"": {""color"": ""Xám"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_6__126.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_6__126.png"", ""product_url"": ""https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14imh10-83v6001gvn.html?product_id=127760"", ""price"": ""24.590.000₫""}}"
Laptop Lenovo Legion 5 15IRX10 83LY00HRVN,laptop-lenovo-legion-5-15irx10-83ly00hrvn,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__9_195.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_351.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_289.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_3__9_38.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_3__9_38.png"", ""product_url"": ""https://cellphones.com.vn/laptop-lenovo-legion-5-15irx10-83ly00hrvn.html?product_id=117291"", ""price"": ""41.990.000₫""}}"
Laptop Lenovo IdeaPad Slim 3 14ARP10 83K600E9VN,laptop-lenovo-ideapad-slim-3-14arp10-83k600e9vn,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__1_113.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__1_94.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__1_103.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2_175.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__1_77.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__1_84.png""]","{""product_color_1"": {""color"": ""Xám"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1__1_114.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_1__1_114.png"", ""product_url"": ""https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-14arp10-83k600e9vn.html?product_id=129030"", ""price"": ""17.990.000₫""}}"
Laptop Lenovo LOQ 15ARP10E 83S000DEVN,laptop-lenovo-loq-15arp10e-83s000devn,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_13__1_12.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__1_69.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2_122.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__1_56.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__1_62.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_8__75.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__1_50.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_7__90.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__1_67.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__108.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_11__1_16.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_9__61.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_12__1_14.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_10__50.png""]","{""product_color_1"": {""color"": ""Xám"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_13__1_13.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_13__1_13.png"", ""product_url"": ""https://cellphones.com.vn/laptop-lenovo-loq-15arp10e-83s000devn.html?product_id=126953"", ""price"": ""26.990.000₫""}}"
