name,sku,base_price,sale_price,description,specifications,images,colors
Laptop MSI Cyborg 15 B13WEKG-676VN,laptop-msi-cyborg-15-b13wekg-676vn,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1_32.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__33.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__30.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__30.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__28.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__30.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_7__20.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__22.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_8__19.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_33.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_33.png"", ""product_url"": ""https://cellphones.com.vn/laptop-msi-cyborg-15-b13wekg-676vn.html?product_id=118255"", ""price"": ""31.490.000₫""}}"
Laptop MSI Cyborg 15 A13UC-2082VN,laptop-msi-cyborg-15-a13uc-2082vn,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__9_26.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__9_23.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__11_33.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__6_19.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__10_18.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__10_17.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__6_16.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__6_17.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__7_252.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__8_218.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__9_191.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__8_187.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_18__8_32.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_287.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_349.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_17__9_36.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_20__6_23.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_19__6_30.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_21__5_17.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_22__5_13.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_23__4_12.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_24__4_8.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_26__7_5.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_25__8_7.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_3__9_27.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_3__9_27.png"", ""product_url"": ""https://cellphones.com.vn/laptop-msi-cyborg-15-a13uc-2082vn.html?product_id=116690"", ""price"": ""25.490.000₫""}}"
Laptop MSI Modern 14 F13MG-240VNCP,laptop-msi-modern-14-f13mg-240vncp,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__9_297.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__7_273.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__7_322.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__8_140.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__8_116.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_19__6_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_18__8_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__4_279.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__9_312.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__4_255.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_20__6_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_244.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_17__9_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_298.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__9_124.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__7_154.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_220.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__5_227.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__7_5.png""]","{""product_color_1"": {""color"": ""Xám"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__9_298.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__9_298.png"", ""product_url"": ""https://cellphones.com.vn/laptop-msi-modern-14-f13mg-240vncp.html?product_id=109994"", ""price"": ""16.590.000₫""}}"
Laptop MSI Katana 15 B13UDXK-2437VN,laptop-msi-katana-15-b13udxk-2437vn,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__13_20.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__10_13.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__10_16.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__12_14.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__7_11.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__7_12.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__6_60.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__11_5.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__11_9.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__7_289.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__8_246.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__8_213.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_373.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__9_220.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_312.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_17__9_51.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_19__6_41.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_18__8_43.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_21__5_26.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_20__6_33.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_23__4_18.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_22__5_20.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__13_21.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__13_21.png"", ""product_url"": ""https://cellphones.com.vn/laptop-msi-katana-15-b13udxk-2437vn.html?product_id=121558"", ""price"": ""25.890.000₫""}}"
Laptop MSI Cyborg 15 B13WFKG-658VN,laptop-msi-cyborg-15-b13wfkg-658vn,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1_32_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__33_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__30_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__30_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__28_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__30_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_7__20_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__22_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_8__19_1.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_32_2.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_32_2.png"", ""product_url"": ""https://cellphones.com.vn/laptop-msi-cyborg-15-b13wfkg-658vn.html?product_id=126961"", ""price"": ""36.490.000₫""}}"
Laptop MSI Katana 15 B13UDXK-2269VN V2,laptop-msi-katana-15-b13udxk-2269vn-16gb,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__4_135_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_111_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__5_141_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__5_134_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__6_85_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__6_125_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_17__8_34_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_77_2.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_10__4_135_1_2_2.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_10__4_135_1_2_2.png"", ""product_url"": ""https://cellphones.com.vn/laptop-msi-katana-15-b13udxk-2269vn-16gb.html?product_id=101114"", ""price"": ""25.890.000₫""}}"
Laptop MSI Modern 14 F13MG-466VN V2,laptop-msi-modern-14-f13mg-466vn-v2,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__7_258_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__9_281_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__7_310_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_19__5_63_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_18__7_72_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__8_112_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__8_131_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__9_299_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__4_241_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__4_268_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_20__5_127_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_241_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_17__8_175_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_295_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__9_121_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__5_218_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__6_234_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_210_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__7_147_2.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_3__7_258_3.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_3__7_258_3.png"", ""product_url"": ""https://cellphones.com.vn/laptop-msi-modern-14-f13mg-466vn-v2.html?product_id=121049"", ""price"": ""15.190.000₫""}}"
Laptop MSI Modern 14 F13MG-466VN,laptop-msi-modern-14-f13mg-466vn,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__7_258.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__9_281.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__7_310.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_19__5_63.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_18__7_72.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__8_112.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__8_131.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__9_299.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__4_241.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__4_268.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_20__5_127.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_241.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_17__8_175.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_295.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__9_121.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__5_218.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__6_234.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_210.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__7_147.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_3__7_259.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_3__7_259.png"", ""product_url"": ""https://cellphones.com.vn/laptop-msi-modern-14-f13mg-466vn.html?product_id=109541"", ""price"": ""17.590.000₫""}}"
Laptop MSI Sword 16 HX B14VEKG-459VN,laptop-msi-sword-16-hx-b14vekg-459vn,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__4_87.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__4_84.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__9_96.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_175.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_17__8_125.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_21__4_87.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_18__7_27.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_219.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__6_81.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__5_102.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_75.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_24__3_72.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_20__5_99.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_19__5_26.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_22__4_84.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_23__3_78.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__7_51.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__8_40.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__9_37.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__8_36.png""]","{""product_color_1"": {""color"": ""Xám"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__6_129.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__6_129.png"", ""product_url"": ""https://cellphones.com.vn/laptop-msi-sword-16-hx-b14vekg-459vn.html?product_id=93363"", ""price"": ""32.490.000₫""}}"
Laptop MSI Katana 15 B13UDXK-2411VN,laptop-msi-katana-15-b13udxk-2411vn,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__8_93.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__10_109.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__8_97.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__9_154.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_321.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_22__5_9.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_21__5_12.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_19__6_15.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_264.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__8_144.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__8_173.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__5_67.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__10_86.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__5_80.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_20__6_11.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_23__4_8.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_18__8_16.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_17__9_16.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_11__7_193.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_10__5_273.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__8_63.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_277.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_3__8_94.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_3__8_94.png"", ""product_url"": ""https://cellphones.com.vn/laptop-msi-katana-15-b13udxk-2411vn.html?product_id=111611"", ""price"": ""24.390.000₫""}}"
