name,sku,base_price,sale_price,description,specifications,images,colors
Huawei Mate X7 16GB 512GB,dien-thoai-huawei-mate-x7,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/h/u/huawei-mate-x7-2.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/h/u/huawei-mate-x7-4.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/h/u/huawei-mate-x7-1_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/h/u/huawei-mate-x7-3.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-3.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-4.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-5.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-6.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-7.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-8.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-16.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-17.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-18.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-9.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-10.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-12.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-11.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-13.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-14.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-15.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-19.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-2.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-3_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-5_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-4_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-6_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-9_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-10_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-7_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-11_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-12_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-13_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-14_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-15_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-16_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-huawei-mate-x7-17_1.jpg""]","{""product_color_1"": {""color"": ""Đỏ"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/h/u/huawei-mate-x7.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/h/u/huawei-mate-x7.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-huawei-mate-x7.html?product_id=122938"", ""price"": ""42.990.000₫""}, ""product_color_2"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/h/u/huawei-mate-x7-1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/h/u/huawei-mate-x7-1.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-huawei-mate-x7.html?product_id=122937"", ""price"": ""42.990.000₫""}}"
Huawei P20 Pro Chính hãng,huawei-p20-pro-chinh-hang,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/p/2/p20-pro-pink-back.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/p/2/p20-pro-purple-back.png""]","{""product_color_1"": {""color"": ""Xanh dương"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/2/p20-pro_2.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/p/2/p20-pro_2.jpg"", ""product_url"": ""https://cellphones.com.vn/huawei-p20-pro-chinh-hang.html?product_id=11020"", ""price"": ""16.990.000₫""}, ""product_color_2"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/2/p20-pro_3.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/p/2/p20-pro_3.jpg"", ""product_url"": ""https://cellphones.com.vn/huawei-p20-pro-chinh-hang.html?product_id=11019"", ""price"": ""19.990.000₫""}, ""product_color_3"": {""color"": ""Hồng"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/2/p20-pro_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/p/2/p20-pro_1.jpg"", ""product_url"": ""https://cellphones.com.vn/huawei-p20-pro-chinh-hang.html?product_id=11021"", ""price"": ""19.990.000₫""}, ""product_color_4"": {""color"": ""Tím"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/2/p20-pro_4.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/p/2/p20-pro_4.jpg"", ""product_url"": ""https://cellphones.com.vn/huawei-p20-pro-chinh-hang.html?product_id=11022"", ""price"": ""16.990.000₫""}}"
Huawei nova 3e Chính hãng,huawei-nova-3e-chinh-hang,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nova-3e-pink.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nova-3e-black-back.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nova-3e-blue-back_2_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nova-3e-gold-back.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nova-3e-pink-back.png""]","{""product_color_1"": {""color"": ""Hồng"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/n/o/nova-3e-pink_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/n/o/nova-3e-pink_1.jpg"", ""product_url"": ""https://cellphones.com.vn/huawei-nova-3e-chinh-hang.html?product_id=10966"", ""price"": ""5.290.000₫""}, ""product_color_2"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/n/o/nova-3e-black_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/n/o/nova-3e-black_1.jpg"", ""product_url"": ""https://cellphones.com.vn/huawei-nova-3e-chinh-hang.html?product_id=10963"", ""price"": ""5.290.000₫""}, ""product_color_3"": {""color"": ""Xanh dương"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/n/o/nova-3e-blue_2_2.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/n/o/nova-3e-blue_2_2.jpg"", ""product_url"": ""https://cellphones.com.vn/huawei-nova-3e-chinh-hang.html?product_id=10964"", ""price"": ""5.290.000₫""}, ""product_color_4"": {""color"": ""Gold"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/n/o/nova-3e-gold_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/n/o/nova-3e-gold_1.jpg"", ""product_url"": ""https://cellphones.com.vn/huawei-nova-3e-chinh-hang.html?product_id=10965"", ""price"": ""5.990.000₫""}}"
Huawei P60 Pro,huawei-p60-pro,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/_/t/_ter3434_2_.jpg""]",{}
Huawei Nova 10 SE,huawei-nova-10-se,,,,,[],{}
Huawei Nova 10,huawei-nova-10,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/_/h/_huawei_nova_10_2_.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/_/h/_huawei_nova_10_4_.jpg""]",{}
Huawei Pocket S,huawei-pocket-s,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/v/c/vcvv_3_.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/v/c/vcvv_2_.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/v/c/vcvv.jpg""]",{}
Huawei Nova 10 Pro,huawei-nova-10-pro,,,,,[],{}
Huawei Nova 9 SE,huawei-nova-9-se-46952,,,,,[],{}
Huawei Nova 10z,huawei-nova-10z,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/1/1/11edc_zz.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/2/x/2x_.jpg""]",{}
