name,sku,base_price,sale_price,description,specifications,images,colors
Điện thoại Itel P55 Plus NFC 8GB 256GB,dien-thoai-itel-p55-plus-8gb-256gb,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/l/slider-itel-p55-plus-nfc-3.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/l/slider-itel-p55-plus-nfc-4.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_2__2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_1__2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb.1_1_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_1_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_3_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_5_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_7_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_1__1_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_2__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_3__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_4__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb.1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_9__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_6__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_7__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_8__1.png""]","{""product_color_1"": {""color"": ""Xanh lá"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_1__2_1.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_1__2_1.png"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-itel-p55-plus-8gb-256gb.html?product_id=103147"", ""price"": ""3.190.000₫""}, ""product_color_2"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb.1_1_2.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb.1_1_2.png"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-itel-p55-plus-8gb-256gb.html?product_id=103059"", ""price"": ""3.190.000₫""}, ""product_color_3"": {""color"": ""Tím"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_2__2_1.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_2__2_1.png"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-itel-p55-plus-8gb-256gb.html?product_id=103146"", ""price"": ""3.190.000₫""}}"
Itel RS4 12GB 256GB NFC,dien-thoai-itel-rs4-12gb-256gb,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-rs4_2__4.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-rs4_4.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-rs4_1__4.png""]","{""product_color_1"": {""color"": ""Trắng"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/h/photo_2025-01-13_15-19-28.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/p/h/photo_2025-01-13_15-19-28.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-itel-rs4-12gb-256gb.html?product_id=98673"", ""price"": ""3.390.000₫""}, ""product_color_2"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/m/image_-_2025-01-03t220051.769.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/i/m/image_-_2025-01-03t220051.769.png"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-itel-rs4-12gb-256gb.html?product_id=98131"", ""price"": ""3.390.000₫""}}"
Itel RS4 8GB 256GB NFC,dien-thoai-itel-rs4,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/_/i/_i_n_tho_i_itel_rs4_8gb_256gb_-_4.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/_/i/_i_n_tho_i_itel_rs4_8gb_256gb_-_5.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-rs4_2_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-rs4.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-rs4_1_.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-05_15-02-39.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-05_15-02-39.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-itel-rs4.html?product_id=89591"", ""price"": ""3.290.000₫""}, ""product_color_2"": {""color"": ""Kem"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-05_15-02-43.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-05_15-02-43.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-itel-rs4.html?product_id=89592"", ""price"": ""3.290.000₫""}, ""product_color_3"": {""color"": ""Trắng"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-05_15-02-35.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-05_15-02-35.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-itel-rs4.html?product_id=89593"", ""price"": ""3.290.000₫""}}"
Itel RS4 8GB 128GB NFC,dien-thoai-itel-rs4-128gb,,,,,[],"{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/m/image_-_2024-12-24t142303.519.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/i/m/image_-_2024-12-24t142303.519.png"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-itel-rs4-128gb.html?product_id=97392"", ""price"": ""2.990.000₫""}, ""product_color_2"": {""color"": ""Trắng"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/m/image_-_2024-12-24t142311.083.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/i/m/image_-_2024-12-24t142311.083.png"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-itel-rs4-128gb.html?product_id=97393"", ""price"": ""2.990.000₫""}}"
Itel P55 8GB 128GB NFC,dien-thoai-itel-p55,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/_/i/_i_n_tho_i_itel_p55_8gb_128gb_-_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/_/i/_i_n_tho_i_itel_p55_8gb_128gb_-_5.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55_46_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55_55_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/_/i/_i_n_tho_i_itel_p55_7_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/_/i/_i_n_tho_i_itel_p55_6_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55_48_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55_49_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/_/i/_i_n_tho_i_itel_p55_2_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55_47_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/_/i/_i_n_tho_i_itel_p55_3_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/_/i/_i_n_tho_i_itel_p55_1_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/_/i/_i_n_tho_i_itel_p55.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55_43_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55_45_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/_/i/_i_n_tho_i_itel_p55_5_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-p55_44_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/_/i/_i_n_tho_i_itel_p55_4_.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-26_15-24-28.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-26_15-24-28.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-itel-p55.html?product_id=91776"", ""price"": ""2.690.000₫""}, ""product_color_2"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-26_15-24-32.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-26_15-24-32.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-itel-p55.html?product_id=91777"", ""price"": ""2.690.000₫""}}"
Itel S23 8GB 128GB,itel-s23,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/m/image_365_2_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/t/itel_s23_8gb_128gb_-_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/t/itel_s23_8gb_128gb_-_6.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/m/image_365.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/t/itel_s23_8gb_128gb_-_4.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/t/itel_s23_8gb_128gb_-_5.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/m/image_365_3_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/t/itel_s23_8gb_128gb_-_7.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_-_2023-06-22t144145.073.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/t/itel_s23_8gb_128gb_-_8.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_-_2023-06-22t144108.654.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_-_2023-06-22t144209.639.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/1/_/1_366_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/t/itel-s23-2.jpg""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/1/_/1_366_1_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/1/_/1_366_1_1.jpg"", ""product_url"": ""https://cellphones.com.vn/itel-s23.html?product_id=64878"", ""price"": ""2.390.000₫""}, ""product_color_2"": {""color"": ""Trắng"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/t/itel-s23-2_1_.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/i/t/itel-s23-2_1_.jpg"", ""product_url"": ""https://cellphones.com.vn/itel-s23.html?product_id=64879"", ""price"": ""2.390.000₫""}}"
Itel 8010 4G,dien-thoai-itel-8010-4g,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-8010-4g_9_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-8010-4g_10_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-8010-4g_8_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-8010-4g_7_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-8010-4g_5_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-itel-8010-4g_4_.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-8010-4g_1.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-8010-4g_1.png"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-itel-8010-4g.html?product_id=90872"", ""price"": ""390.000₫""}}"
Itel 9310 4G,dien-thoai-itel-9310-4g,,,,,[],"{""product_color_1"": {""color"": ""Vàng"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-9310-4g_1.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-9310-4g_1.png"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-itel-9310-4g.html?product_id=90870"", ""price"": ""650.000₫""}, ""product_color_2"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-9310-4g_2.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-9310-4g_2.png"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-itel-9310-4g.html?product_id=90871"", ""price"": ""650.000₫""}}"
Itel 9211 4G,dien-thoai-itel-9211-4g,,,,,[],"{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-9211-4g_2.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-9211-4g_2.png"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-itel-9211-4g.html?product_id=90873"", ""price"": ""490.000₫""}, ""product_color_2"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-9211-4g_1_1.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-9211-4g_1_1.png"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-itel-9211-4g.html?product_id=90874"", ""price"": ""490.000₫""}}"
Itel S23 8GB 256GB,itel-s23-256gb,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/m/image_365_2__2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/t/itel_s23_8gb_128gb_-_2_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/t/itel_s23_8gb_128gb_-_6_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/m/image_365_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/m/image_365_3__2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/t/itel_s23_8gb_256gb_-_4.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/t/itel_s23_8gb_128gb_-_5_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/t/itel_s23_8gb_128gb_-_7_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_-_2023-06-22t144145.073_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/t/itel_s23_8gb_128gb_-_8_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_-_2023-06-22t144108.654_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_-_2023-06-22t144209.639_4.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/1/_/1_366_1_3.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/t/itel-s23-2_2.jpg""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/o/download_4__11_4.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/o/download_4__11_4.png"", ""product_url"": ""https://cellphones.com.vn/itel-s23-256gb.html?product_id=73772"", ""price"": ""2.390.000₫""}, ""product_color_2"": {""color"": ""Trắng"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/o/download_5__5.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/o/download_5__5.png"", ""product_url"": ""https://cellphones.com.vn/itel-s23-256gb.html?product_id=73773"", ""price"": ""2.390.000₫""}}"
