name,sku,base_price,sale_price,description,specifications,images,colors
Masstel Izi 15 4G,masstel-izi-15,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-izi-15_4_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-izi-15.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-izi-15_6_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-izi-15_5_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-izi-15_7_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-izi-15_2_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-izi-15_1_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-izi-15_3_.png""]","{""product_color_1"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/z/izi-5-12.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/i/z/izi-5-12.png"", ""product_url"": ""https://cellphones.com.vn/masstel-izi-15.html?product_id=78067"", ""price"": ""420.000₫""}, ""product_color_2"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/z/izi-5-11.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/i/z/izi-5-11.png"", ""product_url"": ""https://cellphones.com.vn/masstel-izi-15.html?product_id=78066"", ""price"": ""420.000₫""}}"
Điện thoại trẻ em Masstel Alfa 5,dien-thoai-masstel-alfa-5,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-alfa-5.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-alfa-5-1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-alfa-5-2.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-alfa-5-3.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-alfa-5-4.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-alfa-5-5.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-alfa-5-6.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-alfa-5-7.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-alfa-5-8.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-alfa-5-9.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-alfa-5-10.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-alfa-5-11.jpg""]","{""product_color_1"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-alfa-5_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-alfa-5_1.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-alfa-5.html?product_id=110988"", ""price"": ""1.050.000₫""}, ""product_color_2"": {""color"": ""Vàng"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-alfa-5-2_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-alfa-5-2_1.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-alfa-5.html?product_id=110987"", ""price"": ""1.050.000₫""}}"
Masstel Fami 8 4G,dien-thoai-masstel-fami-8,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-fami-8-1_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-fami-8-2_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel_fami_8_4g-3.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel_fami_8_4g-2.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel_fami_8_4g.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel_fami_8_4g-4.jpg""]","{""product_color_1"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-fami-8-1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-fami-8-1.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-fami-8.html?product_id=109851"", ""price"": ""580.000₫""}, ""product_color_2"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-fami-8-2.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-fami-8-2.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-fami-8.html?product_id=109850"", ""price"": ""580.000₫""}}"
Masstel izi T5 plus 4G,dien-thoai-masstel-izi-t5-plus,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel_izi_t5_plus_4g.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel_izi_t5_plus_4g_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel_izi_t5_plus_4g-2.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel_izi_t5_plus_4g-1_1.jpg""]","{""product_color_1"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/masstel-izi-t5-plus-xanh.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/m/a/masstel-izi-t5-plus-xanh.png"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-izi-t5-plus.html?product_id=111367"", ""price"": ""530.000₫""}, ""product_color_2"": {""color"": ""Đen/Đỏ"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/masstel-izi-t5-plus-den_1.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/m/a/masstel-izi-t5-plus-den_1.png"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-izi-t5-plus.html?product_id=111366"", ""price"": ""530.000₫""}, ""product_color_3"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/masstel-izi-t5-plus-den.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/m/a/masstel-izi-t5-plus-den.png"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-izi-t5-plus.html?product_id=111365"", ""price"": ""530.000₫""}}"
Masstel Izi S8,dien-thoai-masstel-izi-s8,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-s8-1-11.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-s8-1-12.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-s8-1-13.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-s8-1-9.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-s8-1-10.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-s8-1-3.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-s8-1-4.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-s8-1-5.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-s8-1-6.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-s8-1-7.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-s8-1-8.jpg""]","{""product_color_1"": {""color"": ""Xanh dương đậm"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-izi-s8-3.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-izi-s8-3.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-izi-s8.html?product_id=123575"", ""price"": ""485.000₫""}, ""product_color_2"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-izi-s8-2.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-izi-s8-2.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-izi-s8.html?product_id=123574"", ""price"": ""485.000₫""}, ""product_color_3"": {""color"": ""Xanh dương nhạt"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-izi-s8.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-izi-s8.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-izi-s8.html?product_id=123576"", ""price"": ""485.000₫""}}"
Masstel izi 22,dien-thoai-masstel-izi-22,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-izi-22-1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-izi-22-3.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-izi-22-5.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-izi-22.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-izi-22-2.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-izi-22-4.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-izi-22-6.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-izi-22-7.jpg""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/masstel-izi-22-8_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/m/a/masstel-izi-22-8_1.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-izi-22.html?product_id=116116"", ""price"": ""470.000₫""}, ""product_color_2"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/masstel-izi-22-10_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/m/a/masstel-izi-22-10_1.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-izi-22.html?product_id=116117"", ""price"": ""470.000₫""}}"
Masstel Fami 25,dien-thoai-masstel-fami-25,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-fami-25-den-3.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-fami-25-den-4.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-fami-25-den-5.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-fami-25-den-6.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-fami-25-den-7.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-fami-25-den-8.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-fami-25-den-9.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-fami-25-den-10.jpg""]","{""product_color_1"": {""color"": ""Xanh dương đậm"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-fami-25-2.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-fami-25-2.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-fami-25.html?product_id=123563"", ""price"": ""650.000₫""}, ""product_color_2"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-fami-25-den_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-fami-25-den_1.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-fami-25.html?product_id=123562"", ""price"": ""650.000₫""}, ""product_color_3"": {""color"": ""Xanh dương nhạt"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-fami-25-3.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-fami-25-3.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-fami-25.html?product_id=123566"", ""price"": ""650.000₫""}}"
Masstel izi 16 4G,dien-thoai-masstel-izi-16-4g,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-16-1-10.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/m/a/masstel-16-1_5__1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/z/izi_16_black_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/i/z/izi_16_blue_1.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/h/photo_5_2024-09-10_16-58-00.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/p/h/photo_5_2024-09-10_16-58-00.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-izi-16-4g.html?product_id=90318"", ""price"": ""450.000₫""}, ""product_color_2"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/masstel-16-1_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/m/a/masstel-16-1_1.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-izi-16-4g.html?product_id=90320"", ""price"": ""450.000₫""}}"
Masstel izi T8,dien-thoai-masstel-izi-t8,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-t8-3_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-t8-4.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-t8-5.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-t8-6.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-t8-7.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-t8-8.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-izi-t8-9.jpg""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-izi-t8-2.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-izi-t8-2.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-izi-t8.html?product_id=123548"", ""price"": ""530.000₫""}, ""product_color_2"": {""color"": ""Xanh dương"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-izi-t8-3.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-masstel-izi-t8-3.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-izi-t8.html?product_id=123549"", ""price"": ""530.000₫""}}"
Điện thoại Masstel S7 4GB 128GB,dien-thoai-masstel-s7,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/l/slider-masstel-s7-2.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/l/slider-masstel-s7-4.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-s7.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-s7_7_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-s7_2_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-s7_1_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-s7_3_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-s7_4_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-s7_5_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-s7_6_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-s7_9_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-s7_8_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-s7_10_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-s7_11_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-s7_12_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-masstel-s7_13_.png""]","{""product_color_1"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/m/image_1262703771.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/i/m/image_1262703771.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-s7.html?product_id=116120"", ""price"": ""2.090.000₫""}, ""product_color_2"": {""color"": ""Vàng"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/m/image_1262703772.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/i/m/image_1262703772.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-masstel-s7.html?product_id=116119"", ""price"": ""2.090.000₫""}}"
