name,sku,base_price,sale_price,description,specifications,images,colors
Nokia 3210 4G,nokia-3210-4g,,,,,[],"{""product_color_1"": {""color"": ""Xanh dương"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/i/tivi-xiaomi-a-55-inch-4k-2025_52_.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/i/tivi-xiaomi-a-55-inch-4k-2025_52_.png"", ""product_url"": ""https://cellphones.com.vn/nokia-3210-4g.html?product_id=83859"", ""price"": ""1.470.000₫""}, ""product_color_2"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/i/tivi-xiaomi-a-55-inch-4k-2025_51_.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/i/tivi-xiaomi-a-55-inch-4k-2025_51_.png"", ""product_url"": ""https://cellphones.com.vn/nokia-3210-4g.html?product_id=83857"", ""price"": ""1.470.000₫""}, ""product_color_3"": {""color"": ""Vàng"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/i/tivi-xiaomi-a-55-inch-4k-2025_53_.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/i/tivi-xiaomi-a-55-inch-4k-2025_53_.png"", ""product_url"": ""https://cellphones.com.vn/nokia-3210-4g.html?product_id=83858"", ""price"": ""1.470.000₫""}}"
Nokia HMD 105 4G,nokia-hmd-105-4g,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-hmd-105-4g.png""]","{""product_color_1"": {""color"": ""Hồng"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-09_16-07-20.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-09_16-07-20.jpg"", ""product_url"": ""https://cellphones.com.vn/nokia-hmd-105-4g.html?product_id=89973"", ""price"": ""690.000₫""}, ""product_color_2"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-09_16-07-30.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-09_16-07-30.jpg"", ""product_url"": ""https://cellphones.com.vn/nokia-hmd-105-4g.html?product_id=89974"", ""price"": ""690.000₫""}, ""product_color_3"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-09_16-07-26.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-09_16-07-26.jpg"", ""product_url"": ""https://cellphones.com.vn/nokia-hmd-105-4g.html?product_id=89971"", ""price"": ""690.000₫""}}"
Nokia 220 4G,nokia-220-4g,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-220-4g-1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-220-4g_10_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-220-4g_11_.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/n/o/nokia-220-4g-2_1.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/n/o/nokia-220-4g-2_1.png"", ""product_url"": ""https://cellphones.com.vn/nokia-220-4g.html?product_id=83861"", ""price"": ""980.000₫""}, ""product_color_2"": {""color"": ""Cam"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/n/o/nokia-220-4g-1_1.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/n/o/nokia-220-4g-1_1.png"", ""product_url"": ""https://cellphones.com.vn/nokia-220-4g.html?product_id=83860"", ""price"": ""980.000₫""}}"
Nokia 105 4G Pro,nokia-105-4g-pro,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-105-4g-pro_7_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-105-4g-pro_10_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-105-4g-pro_6_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-105-4g-pro_9_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-105-4g-pro_13_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-105-4g-pro_15_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-105-4g-pro_12_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-105-4g-pro_14_.png""]","{""product_color_1"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/n/o/nokia-105-4g-pro_11__1.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/n/o/nokia-105-4g-pro_11__1.png"", ""product_url"": ""https://cellphones.com.vn/nokia-105-4g-pro.html?product_id=65151"", ""price"": ""750.000₫""}, ""product_color_2"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/n/o/nokia-105-4g-pro_8__1.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/n/o/nokia-105-4g-pro_8__1.png"", ""product_url"": ""https://cellphones.com.vn/nokia-105-4g-pro.html?product_id=65150"", ""price"": ""750.000₫""}}"
Nokia 110 4G Pro,nokia-110-4g-pro,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-110-4g-pro_3__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-110-4g-pro_2__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-110-4g-pro_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-110-4g-pro_5_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-110-4g-pro_4_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-110-4g-pro_2_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-110-4g-pro.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-110-4g-pro_3_.png""]","{""product_color_1"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/n/o/nokia-110-4g-pro_1__1_.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/n/o/nokia-110-4g-pro_1__1_.png"", ""product_url"": ""https://cellphones.com.vn/nokia-110-4g-pro.html?product_id=65153"", ""price"": ""820.000₫""}, ""product_color_2"": {""color"": ""Tím"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/n/o/nokia-110-4g-pro_1__1_1.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/n/o/nokia-110-4g-pro_1__1_1.png"", ""product_url"": ""https://cellphones.com.vn/nokia-110-4g-pro.html?product_id=65152"", ""price"": ""820.000₫""}}"
Nokia C32 4GB 128GB,nokia-c32,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-32-6.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-32-2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-32-5.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-32-4.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_3__2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_1_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_4_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_1_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_2_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_2__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_1__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_7_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_11_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_6_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_5_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_1__3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_3__6.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_10_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_2__3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_9_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_8_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c32_4__1_1.png""]","{""product_color_1"": {""color"": ""Xanh lá"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/n/o/nokia-c32_3__4.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/n/o/nokia-c32_3__4.png"", ""product_url"": ""https://cellphones.com.vn/nokia-c32.html?product_id=65201"", ""price"": ""2.190.000₫""}, ""product_color_2"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/n/o/nokia-c32_3__3.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/n/o/nokia-c32_3__3.png"", ""product_url"": ""https://cellphones.com.vn/nokia-c32.html?product_id=65166"", ""price"": ""2.190.000₫""}}"
Nokia 5.4,nokia-54,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-54-44.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-54-3-org.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-54-tim-3-org.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-54-tim-4.jpg""]","{""product_color_2"": {""color"": ""Tím"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/n/o/nokia-5.4-1_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/n/o/nokia-5.4-1_1.jpg"", ""product_url"": ""https://cellphones.com.vn/nokia-54.html?product_id=29579"", ""price"": ""4.190.000₫""}, ""product_color_3"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/n/o/nokia-5-4-xanh.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/n/o/nokia-5-4-xanh.png"", ""product_url"": ""https://cellphones.com.vn/nokia-54.html?product_id=29580"", ""price"": ""4.190.000₫""}}"
Nokia C31 4GB 128GB,nokia-c31-4gb-128gb,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/1/0/10_31_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/4/_/4_184_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/3/_/3_222_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/8/_/8_62_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/1/1/11_32_1_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/5/_/5_155_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/6/_/6_127_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/2/_/2_240_4.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/1/_/1_251_4.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/3/_/3_223_4.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/4/_/4_185_5.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/5/_/5_156_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/6/_/6_128_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/7/_/7_87_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/8/_/8_63_1.jpg""]","{""product_color_1"": {""color"": ""Xanh lá"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/1/_/1_250_1_2.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/1/_/1_250_1_2.jpg"", ""product_url"": ""https://cellphones.com.vn/nokia-c31-4gb-128gb.html?product_id=54659"", ""price"": ""3.690.000₫""}, ""product_color_2"": {""color"": ""Xanh dương"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/n/o/nokia-c31-xl_1_2.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/n/o/nokia-c31-xl_1_2.jpg"", ""product_url"": ""https://cellphones.com.vn/nokia-c31-4gb-128gb.html?product_id=54658"", ""price"": ""3.690.000₫""}}"
Nokia G21,nokia-g21,,,,,[],"{""product_color_1"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/h/thumb_602966_default_big_2.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/h/thumb_602966_default_big_2.jpg"", ""product_url"": ""https://cellphones.com.vn/nokia-g21.html?product_id=46654"", ""price"": ""4.290.000₫""}, ""product_color_2"": {""color"": ""Tím"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/h/thumb_602962_default_big_1_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/h/thumb_602962_default_big_1_1.jpg"", ""product_url"": ""https://cellphones.com.vn/nokia-g21.html?product_id=46653"", ""price"": ""4.290.000₫""}}"
Nokia C20 2GB 16GB,nokia-c20-16gb,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c20-11_3.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c20-13_3.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c20-14_3.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c20-16_3.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c20-17_3.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c20-18_3.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/n/o/nokia-c20-15_3.jpg""]","{""product_color_1"": {""color"": ""Vàng"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/n/o/nokia-c20-1_4_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/n/o/nokia-c20-1_4_1.jpg"", ""product_url"": ""https://cellphones.com.vn/nokia-c20-16gb.html?product_id=44424"", ""price"": ""2.290.000₫""}, ""product_color_2"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/n/o/nokia-c20-2_4_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/n/o/nokia-c20-2_4_1.jpg"", ""product_url"": ""https://cellphones.com.vn/nokia-c20-16gb.html?product_id=44425"", ""price"": ""2.290.000₫""}}"
