name,sku,base_price,sale_price,description,specifications,images,colors
realme 9 Pro,realme-9-pro,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/realme9pro.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/real_me_pro_001.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/real_me_pro_003.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/o/s/oscar-_-rgb-fa_1.png""]","{""product_color_1"": {""color"": ""Xanh lá"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/9/_/9_ro_plus_1.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/9/_/9_ro_plus_1.png"", ""product_url"": ""https://cellphones.com.vn/realme-9-pro.html?product_id=44252"", ""price"": ""7.990.000₫""}, ""product_color_2"": {""color"": ""Xanh dương"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/9/_/9_pro_plus_2.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/9/_/9_pro_plus_2.png"", ""product_url"": ""https://cellphones.com.vn/realme-9-pro.html?product_id=44251"", ""price"": ""7.990.000₫""}}"
realme 13+ 5G 8GB 256GB,dien-thoai-realme-13-plus-5g,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/realme_13_5g_-_3_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/realme_13_5g_-_5_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/realme-13-plus-5g_4_.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/realme-13-plus-5g_6_.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/realme-13-plus-5g_2_.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/realme-13-plus-5g_1_.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/2/2/223_1__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/2/2/223_2_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/realme-13-plus-5g_3_.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/realme-13-plus-5g_5_.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-13-plus-5g-vang_2_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-13-plus-5g-vang_3_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-13-plus-5g-vang_4_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-13-plus-5g-vang_5_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-13-plus-5g-vang_6_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-13-plus-5g-vang_1_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-13-plus-5g-vang_8_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-13-plus-5g-vang_7_.png""]","{""product_color_1"": {""color"": ""Vàng (Chỉ có tại CPS)"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-12-13_11-01-40.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-12-13_11-01-40.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-realme-13-plus-5g.html?product_id=96539"", ""price"": ""6.590.000₫""}, ""product_color_2"": {""color"": ""Tím"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/r/e/realme-13-plus-5g_4__1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/r/e/realme-13-plus-5g_4__1.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-realme-13-plus-5g.html?product_id=92960"", ""price"": ""6.590.000₫""}}"
realme Note 60 4GB 64GB,dien-thoai-realme-note-60,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-note-60-4gb-64gb_8__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-note-60-4gb-64gb_4__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-note-60-4gb-64gb_5__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-note-60-4gb-64gb_3__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-note-60-4gb-64gb_2__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-note-60-4gb-64gb_1__1.png""]","{""product_color_1"": {""color"": ""Xanh dương"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-01_19-26-04.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-01_19-26-04.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-realme-note-60.html?product_id=89284"", ""price"": ""2.490.000₫""}, ""product_color_2"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-01_19-25-59.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/p/h/photo_2024-09-01_19-25-59.jpg"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-realme-note-60.html?product_id=89283"", ""price"": ""2.490.000₫""}}"
realme C33 4GB 64GB,realme-c33-4gb-64gb,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/1/3/13_25.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/1/_/1_295.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/2/_/2_283.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/8/_/8_78.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/6/_/6_155.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/3/_/3_270.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/5/_/5_191.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/4/_/4_226.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/7/_/7_105.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/9/_/9_55.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/1/1/11_41_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/1/2/12_32_1.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/1/0/10_40.jpg""]","{""product_color_1"": {""color"": ""Vàng"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/3/s/3sdcsc_2_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/3/s/3sdcsc_2_1.jpg"", ""product_url"": ""https://cellphones.com.vn/realme-c33-4gb-64gb.html?product_id=56989"", ""price"": ""2.190.000₫""}, ""product_color_2"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/2/s/2sdcsc_2_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/2/s/2sdcsc_2_1.jpg"", ""product_url"": ""https://cellphones.com.vn/realme-c33-4gb-64gb.html?product_id=54497"", ""price"": ""2.190.000₫""}, ""product_color_3"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/1/s/1sdcsc_2_1.jpg"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/1/s/1sdcsc_2_1.jpg"", ""product_url"": ""https://cellphones.com.vn/realme-c33-4gb-64gb.html?product_id=54498"", ""price"": ""2.190.000₫""}}"
realme C60 4GB 64GB,dien-thoai-realme-c60,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-c60-4.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-c60-5.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-c60_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-c60_4__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-c60_5__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-c60_1__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-c60_3__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-c60_2__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-c60_6_.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-c60_7_.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-c60-den.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-c60-den.png"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-realme-c60.html?product_id=78581"", ""price"": ""2.390.000₫""}, ""product_color_2"": {""color"": ""Xanh"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/r/e/realme-c60-xanh.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/r/e/realme-c60-xanh.png"", ""product_url"": ""https://cellphones.com.vn/dien-thoai-realme-c60.html?product_id=78582"", ""price"": ""2.390.000₫""}}"
realme GT Neo 5,realme-gt-neo-5,,,,,[],{}
Realme GT3,realme-gt3,,,,,[],{}
realme 10 Pro Plus,realme-10-pro-plus,,,,,[],{}
realme Narzo 50,realme-narzo-50,,,,,[],{}
realme 13+ 5G 12GB 256GB,dien-thoai-realme-13-plus-5g-12gb-256gb,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/realme_13_5g_-_3_1_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/realme_13_5g_-_5_1_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/realme-13-plus-5g_4__3.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/realme-13-plus-5g_6__2.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/realme-13-plus-5g_2__2.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/realme-13-plus-5g_1__2.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/2/2/223_1__1_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/2/2/223_2_2_2.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/realme-13-plus-5g_3__2.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/r/e/realme-13-plus-5g_5__2.jpg"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-13-plus-5g-vang_2__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-13-plus-5g-vang_3__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-13-plus-5g-vang_4__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-13-plus-5g-vang_5__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-13-plus-5g-vang_6__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-13-plus-5g-vang_1__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-13-plus-5g-vang_8__1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/d/i/dien-thoai-realme-13-plus-5g-vang_7__1.png""]",{}
