STT,Tên chip CPU,Đơn nhân,Đa nhân,Laptop
1,M4 Max (16-Core),2281,27399,"Mac Studio M4
MacBook Pro M4 Max"
2,M4 Pro (14-Core),2276,23105,"MacBook Pro M4 Pro 16.2 inch
MacBook Pro M4 Pro 14.2 inch"
3,Snapdragon X2 Elite Extreme (X2E-96-100),2020,24082,
4,Core Ultra 9 285HX,2244,38963,"MSI Raider 18 HX AI A2XWIG
MSI Titan 18 HX AI A2XWIG
MSI Titan 18 HX AI A2XWJG"
5,M4 Max (14-Core),2190,22836,"MacBook Pro M4 Max 16.2 inch
MacBook Pro M4 Max 14.2 inch"
6,Ryzen 9 9955HX3D,2166,38400,
7,Ryzen 9 9955HX,2184,38485,
8,M4 Pro (12-Core),2213,19200,MacBook Pro M4 Pro 14.2 inch
9,Ryzen AI Max+ 395,2034,33960,Asus ROG Flow Z13 GZ302EA-RU145WS
10,Ryzen AI Max+ Pro 395,2012,35061,
11,M5 (10-Core),2569,16130,MacBook Pro M5 14 inch
12,Core Ultra 9 275HX,2190,35478,"MSI Vector 16 HX AI A2XWIG
Gigabyte Aorus Master 16 BYH-C5VNE64SH"
13,M3 Max,1950,24020,
14,Ryzen AI Max 390,2174,30783,
15,Ryzen AI Max 385,2150,28887,
16,M2 Ultra,1735,28924,
17,Ryzen 9 8945HX,2002,34982,
18,Core Ultra 7 255HX,2101,26622,"Lenovo Legion 5 15IAX10 – 83F0003BVN
Msi Vector 16 HX AI A2XWHG-010VN"
19,Core Ultra 7 265HX,2026,28691,
20,M4 (10-Core),2159,13471,MacBook Air M4 15.3 inch
21,Core i9 14900HX,2183,33619,"Lenovo Legion Pro 7 16IRX9H – 83DE001NVN
Lenovo Legion Pro 7 16IRX9H"
22,Ryzen 9 7945HX3D,1956,33538,
23,Ryzen 9 7945HX,1951,34333,
24,M4 (8-Core),2091,11228,iMac 24 inch M4
25,Ryzen AI 9 HX 370,2035,22746,"Asus TUF Gaming A14 FA401WV-RG062WS
Msi Stealth A16 AI+ A3XVGG – 208VN"
26,Ryzen AI 9 HX 375,1988,21712,
27,Core i9 13980HX,2193,31174,
28,Ryzen 9 8940HX,1810,31472,
29,M3 Pro,1977,15106,
30,Core Ultra 7 265H,2012,19218,
31,Core Ultra 9 285H,2074,19686,Asus Zenbook Duo UX8406CA-PZ109WS
32,Core i9 13900HX,2088,28826,
33,M1 Ultra,1510,23841,
34,Core Ultra 7 255H,2098,17652,Asus Vivobook S 16 S5606CA-RI115WS
35,Core Ultra 5 245HX,1996,21744,
36,Ryzen AI 9 365,2007,19752,Acer Nitro V 16 S AI Propanel ANV16S-61-R193
37,Core i9 13950HX,2076,28681,
38,Ryzen 9 7845HX,1871,26647,
39,Core Ultra 5 235H,2040,17076,
40,Ryzen Z2 Extreme,1954,14586,
41,Ryzen AI 7 350,1945,15938,"Asus Zenbook 14 UM3406KA-PP590WS
Lenovo Ideapad Slim 5 14AKP10 – 83HX001JVN"
42,Core Ultra 5 225H,1992,16466,
43,Core i7 14700HX,2087,22285,Msi Sword 16 HX B14VFKG-045VN
44,Core i7 13850HX,2033,26015,
45,Apple M3,1904,10454,iMac M3 24 inchMacBook Air 13.6 inch
46,M2 Max,1625,14767,
47,Ryzen AI 7 Pro 360,1958,13794,
48,Ryzen 7 250,1705,14458,
49,Ryzen 7 260,1780,16788,Msi Venture A15 AI A2HMG-003VN
50,Ryzen 9 270,1820,17351,
51,Snapdragon X Elite (X1E-80-100),1712,13072,
