STT,Tên Card đồ hoạ (GPU),Điểm tổng quan,Chơi game,Render,Năng lượng,TFLOPS (FP32),Geekbench OpenCL,3DMark Time Spy
1,RTX 5090 Laptop,67 A+,71,74,51,31.8-45.3,226752,24836
2,RTX 5080 Laptop,60 A+,63,65,51,23-37,190326,21862
3,RTX 4090 Laptop,60 A+,64,63,46,28.3-39.7,203263,21444
4,RTX 5070 Ti Laptop,56 A,54,55,69,17-29.7,166122,17413
5,RTX 5000 Laptop (Ada),55 A,53,66,46,28.4-42.6,168162,16091
6,RTX 4080 Laptop,54 A,57,55,46,24.7-33.9,170767,18855
7,RX 7900M,52 A,54,55,46,38.5,151924,18216
8,RTX 4000 Laptop (Ada),51 A,51,57,46,21.8-33.6,139462,15349
9,M4 Max GPU (40-core),50 A,39,48,88,18.4,116754,-
10,RTX 5070 Laptop,48 A,44,46,66,13-23.2,134209,13584
11,RTX A5500 Laptop,48 A,49,56,42,15.6-24.7,144566,8809
12,RTX 3000 Laptop (Ada),47 A,46,47,57,10.7-19.9,119612,8751
13,RTX 3500 Laptop (Ada),47 A,41,53,57,15.8-23,131037,13066
14,RTX 5060 Laptop,45 B,40,40,73,9.7-16.6,108121,12001
15,M4 Max GPU (32-core),45 B,32,43,87,14.7,100725,-
16,M1 Ultra GPU (64-core),44 B,38,50,61,21.2,106397,-
17,M3 Max GPU (40-core),44 B,33,42,82,16.4,94528,-
18,RTX 3080 Ti Laptop,43 B,42,48,39,16.7-23.6,133659,12882
19,RTX 4070 Laptop,43 B,41,40,57,11.3-20,115081,12515
20,M4 Pro GPU (20-core),40 B,24,36,96,9.2,70029,-
21,RTX A4500 Laptop,40 B,37,52,45,12.2-17.5,119474,9399
22,RTX 3080 Laptop,40 B,39,48,40,15.3-21,128827,12000
23,RTX A5000 Laptop,39 B,33,50,40,15.3-21.7,111855,9138
24,RTX 3070 Ti Laptop,39 B,37,42,47,11.7-16.7,116327,11336
25,RTX 5050 Laptop,38 B,30,36,72,7.7-12.6,91032,9436
26,Radeon RX6850S,38 B,30,39,67,14.8,93015,9764
27,M4 Pro GPU (16-core),38 B,21,32,96,7.4,61008,-
28,RTX 500 Laptop (Ada),38 B,31,38,82,5.8-9.2,61904,-
29,M2 Max GPU (38-core),38 B,28,39,77,13.6,88936,-
30,RTX 3070 Laptop,38 B,35,42,44,13.2-16.6,118499,10470
31,RTX 4060 Laptop,38 B,34,36,57,9-14.8,97986,10411
32,Radeon RX6800S,37 C,31,39,67,11.5,81081,9006
33,RX 7700S,37 C,31,32,66,15.1-18,78137,10342
34,RTX 1000 Laptop (Ada),37 C,31,35,98,6.4-12.1,73755,-
35,RX 7600M XT,36 C,30,29,60,20.2,77586,8825
36,RTX 2080 Mobile,36 C,32,39,36,9.4,116500,10054
37,RX 6850M XT,36 C,33,35,45,11.2-12.8,101515,10979
38,M1 Max GPU (32-core),36 C,28,37,75,10.6,71977,-
39,RX 7600S,36 C,28,28,75,11.2-13.8,70837,9176
40,RX 6800M,36 C,34,36,86,11.8,99418,11494
41,RTX 2000 Laptop (Ada),36 C,29,37,87,7.6-14.5,81913,7236
42,RX 6700M,34 C,30,32,51,7.9-10.6,92153,9492
43,RX 6800S,34 C,27,27,62,8.1,79191,6789
44,RX 6700S,33 C,24,30,66,6.8,73161,7819
45,M3 Pro GPU (18-core),33 C,18,27,92,7.4,43099,-
46,RTX 3060 Laptop,33 C,28,35,67,9.9-13.1,94459,8322
47,RTX 4050 Laptop,33 C,28,30,67,8.2-12.1,81436,8210
48,RTX A3000 Laptop,33 C,26,40,50,9.7-12.8,89269,7681
49,M4 GPU (8-core),32 C,14,24,98,3.5,30791,-
50,M4 GPU (10-core),32 C,16,25,98,4.4,37678,-
51,RX 6650M,32 C,25,29,61,5.4-7.8,71125,8019
52,Arc 140V,31 C,18,17,93,4-6.2,30059,3715
53,M3 Pro GPU (16-core),31 C,17,27,88,5.3,42227,-
54,Arc GPU (7-Cores),31 C,19,14,91,3.9,27187,-
55,RTX 2070 Mobile,31 C,29,35,46,6.6-8.8,92843,7566
56,M2 Pro GPU (19-core),31 C,16,29,87,6.8,49366,-
57,Arc iGPU (8-Cores),31 C,18,14,91,4.6-4.8,30062,-
58,Arc 130V,29 C,17,16,93,3.3,25557,-
59,Arc GPU (4-Cores),29 C,18,10,95,1.8-2,16321,-
60,M3 GPU (10-core),29 C,13,23,96,4.1,30027,-
61,GeForce MX570,28 C,20,17,77,6,42990,-
62,RTX A2000 Laptop,28 C,17,28,61,5.3-8.7,57201,4614
63,RTX 3050 Ti Laptop,28 C,20,26,60,5.3-8.7,65121,5371
64,Radeon 890M,28 C,13,17,97,5.9,42932,3340
65,Radeon 8040S,27 C,11,16,97,5.7,35976,-
66,Arc 140T,27 C,19,17,91,4.6-4.8,42502,3875
67,RX 6500M,27 C,14,21,79,4.9,46706,4083
